Date,1^ALEX,2^ORPY,3^COBY,4^CRTZ,5^LMET,6^LLYN,7^LBAY,8^SOMO
Mon 1 Apr 2013,94,1,137,133,244,145,69,81
Tue 2 Apr 2013,235,0,235,139,497,354,150,112
Wed 3 Apr 2013,317,2,246,183,550,393,170,137
Thu 4 Apr 2013,510,7,382,275,739,483,238,195
Fri 5 Apr 2013,503,8,327,243,650,470,207,178
Sat 6 Apr 2013,333,12,367,416,326,172,97,158
Sun 7 Apr 2013,181,10,162,193,216,118,61,87
Mon 8 Apr 2013,797,80,556,500,950,645,312,228
Tue 9 Apr 2013,735,214,545,512,955,665,324,229
Wed 10 Apr 2013,876,301,624,510,1079,728,336,254
Thu 11 Apr 2013,618,234,387,299,830,554,265,217
Fri 12 Apr 2013,57,312,43,13,147,86,39,20
Sat 13 Apr 2013,122,156,67,43,458,72,35,47
Sun 14 Apr 2013,256,698,260,321,297,170,77,92
Mon 15 Apr 2013,986,536,684,694,1185,882,408,255
Tue 16 Apr 2013,606,505,482,375,723,494,235,165
Wed 17 Apr 2013,1195,1387,1045,1058,1330,1011,414,327
Thu 18 Apr 2013,706,634,563,425,1251,682,299,212
Fri 19 Apr 2013,727,749,485,450,914,649,304,205
Sat 20 Apr 2013,297,171,234,205,789,208,93,112
Sun 21 Apr 2013,588,925,474,732,358,256,115,168
Mon 22 Apr 2013,1238,1687,970,1073,1296,1060,472,307
Tue 23 Apr 2013,1445,1965,1079,1110,1735,1110,504,373
Wed 24 Apr 2013,808,805,673,543,1089,789,375,220
Thu 25 Apr 2013,1311,1344,927,824,1496,1044,468,324
Fri 26 Apr 2013,934,1071,698,645,1209,793,338,258
Sat 27 Apr 2013,608,670,563,565,514,322,155,200
Sun 28 Apr 2013,1774,3177,1849,2432,748,569,278,283
Mon 29 Apr 2013,1177,1395,932,830,1465,1085,457,283
Tue 30 Apr 2013,1009,1303,860,892,1344,999,493,322
Wed 1 May 2013,2023,2761,1830,1964,2177,1611,693,442
Thu 2 May 2013,2173,2729,2108,2055,2284,1710,799,473
Fri 3 May 2013,2113,2545,1841,1867,2140,1571,735,458
Sat 4 May 2013,1733,2735,1983,2778,1012,731,381,391
Sun 5 May 2013,1929,3179,2070,3492,1101,819,395,321
Mon 6 May 2013,2083,2958,1941,2334,2433,1799,781,430
Tue 7 May 2013,2357,3303,1978,2474,2494,1889,839,472
Wed 8 May 2013,2483,3003,2238,2368,2655,1945,856,477
Thu 9 May 2013,1927,2056,1786,1614,2043,1471,691,416
Fri 10 May 2013,1332,1341,1111,944,1553,1146,538,305
Sat 11 May 2013,675,566,734,864,593,315,140,163
Sun 12 May 2013,698,657,796,969,503,327,153,141
Mon 13 May 2013,1166,1266,920,751,1487,1103,508,274
Tue 14 May 2013,1778,2250,1451,1527,1996,1455,683,387
Wed 15 May 2013,1535,1440,1188,937,1798,1330,665,306
Thu 16 May 2013,2125,2432,1652,1554,2349,1631,726,401
Fri 17 May 2013,2068,2565,1901,1930,2188,1522,685,399
Sat 18 May 2013,2224,2745,2316,3466,1020,707,365,352
Sun 19 May 2013,1430,1051,1037,1847,639,421,217,191
Mon 20 May 2013,1823,2763,2024,2823,833,591,284,223
Tue 21 May 2013,1270,1371,967,791,1580,1189,515,312
Wed 22 May 2013,1257,1306,1259,919,1585,1207,533,296
Thu 23 May 2013,1288,1188,1192,683,1441,1049,519,299
Fri 24 May 2013,889,847,1006,592,1177,872,407,247
Sat 25 May 2013,1089,1002,1287,1250,933,614,303,292
Sun 26 May 2013,1417,1755,1401,1734,939,656,324,318
Mon 27 May 2013,2330,3163,2033,2131,2456,1641,821,419
Tue 28 May 2013,2354,3347,2012,2037,2597,2010,907,469
Wed 29 May 2013,875,952,770,642,1232,886,541,221
Thu 30 May 2013,2393,3372,2045,2112,2555,1962,860,474
Fri 31 May 2013,1788,2631,1660,1750,2247,1667,721,396
Sat 1 Jun 2013,796,1546,1313,1137,879,600,314,250
Sun 2 Jun 2013,735,1088,852,1011,639,424,224,199
Mon 3 Jun 2013,2276,2779,1827,1661,2406,1834,816,433
Tue 4 Jun 2013,2701,3310,2154,2067,2619,1968,815,495
Wed 5 Jun 2013,2583,3047,2084,1758,2541,1862,822,420
Thu 6 Jun 2013,1139,1091,784,503,1358,1030,482,217
Fri 7 Jun 2013,580,520,449,311,845,609,271,201
Sat 8 Jun 2013,639,789,777,708,609,407,218,273
Sun 9 Jun 2013,2130,3389,1904,2798,1004,673,287,361
Mon 10 Jun 2013,2022,2977,1660,1758,2336,1722,713,327
Tue 11 Jun 2013,546,588,513,265,863,631,284,168
Wed 12 Jun 2013,2429,3261,2178,2071,2522,1811,739,456
Thu 13 Jun 2013,2221,2827,2201,1840,2427,1784,742,484
Fri 14 Jun 2013,2165,2912,2030,1879,2346,1659,700,494
Sat 15 Jun 2013,1851,2930,2258,2419,1098,768,348,402
Sun 16 Jun 2013,380,345,419,348,336,228,98,102
Mon 17 Jun 2013,1874,2146,1499,1223,2035,1473,657,385
Tue 18 Jun 2013,2441,3154,2037,2006,2510,1820,730,433
Wed 19 Jun 2013,2582,3638,2540,2422,2848,2078,864,457
Thu 20 Jun 2013,2493,3346,2690,2276,2733,2037,827,395
Fri 21 Jun 2013,2329,3269,2247,2157,2584,1877,773,488
Sat 22 Jun 2013,533,473,704,560,587,423,186,217
Sun 23 Jun 2013,1362,2069,1247,1933,927,653,304,251
Mon 24 Jun 2013,1576,2094,1521,1540,1993,1382,623,374
Tue 25 Jun 2013,1930,2281,1567,1352,2163,1637,667,405
Wed 26 Jun 2013,2124,2687,1925,1742,2377,1712,664,410
Thu 27 Jun 2013,2285,3208,2133,2034,2451,1877,783,466
Fri 28 Jun 2013,564,537,423,282,771,588,260,162
Sat 29 Jun 2013,1020,1163,1209,1164,768,492,219,259
Sun 30 Jun 2013,2748,3094,2302,2895,1108,779,353,270
