Date,AlexS2,ColByEL2,ORP_PoW3,
Date,1_ALEX,3_COBY,2_ORPY,
Thu 01 Jul 2010,0,2008,4060,
Fri 02 Jul 2010,0,1714,2724,
Sat 03 Jul 2010,0,1612,2150,
Sun 04 Jul 2010,0,982,2113,
Mon 05 Jul 2010,0,1267,2777,
Tue 06 Jul 2010,0,1294,3156,
Wed 07 Jul 2010,0,1275,2857,
Thu 08 Jul 2010,0,1183,2617,
Fri 09 Jul 2010,0,854,1799,
Sat 10 Jul 2010,0,1239,2748,
Sun 11 Jul 2010,0,1120,3077,
Mon 12 Jul 2010,0,1590,2915,
Tue 13 Jul 2010,0,822,2173,
Wed 14 Jul 2010,0,1644,4269,
Thu 15 Jul 2010,0,1533,3613,
Fri 16 Jul 2010,0,1153,2788,
Sat 17 Jul 2010,0,1272,2239,
Sun 18 Jul 2010,0,1119,3018,
Mon 19 Jul 2010,0,881,1351,
Tue 20 Jul 2010,0,1696,3535,
Wed 21 Jul 2010,0,1277,2281,
Thu 22 Jul 2010,0,1737,3217,
Fri 23 Jul 2010,0,918,1652,
Sat 24 Jul 2010,0,1164,1945,
Sun 25 Jul 2010,0,1201,2295,
Mon 26 Jul 2010,0,1413,3145,
Tue 27 Jul 2010,0,1659,3269,
Wed 28 Jul 2010,0,1201,2140,
Thu 29 Jul 2010,0,1653,2823,
Fri 30 Jul 2010,0,1509,2447,
Sat 31 Jul 2010,0,1623,2033,
Sun 01 Aug 2010,0,1414,2522,
Mon 02 Aug 2010,0,1222,2065,
Tue 03 Aug 2010,0,631,1006,
Wed 04 Aug 2010,0,1162,1803,
Thu 05 Aug 2010,0,1239,2267,
Fri 06 Aug 2010,0,1377,2090,
Sat 07 Aug 2010,0,1640,2199,
Sun 08 Aug 2010,0,602,939,
Mon 09 Aug 2010,0,1251,2527,
Tue 10 Aug 2010,0,1238,2649,
Wed 11 Aug 2010,0,1489,3024,
Thu 12 Aug 2010,0,1419,2763,
Fri 13 Aug 2010,0,1382,2506,
Sat 14 Aug 2010,0,1219,1931,
Sun 15 Aug 2010,0,152,152,
Mon 16 Aug 2010,0,1054,1928,
Tue 17 Aug 2010,0,1367,2877,
Wed 18 Aug 2010,0,1501,2902,
Thu 19 Aug 2010,0,1098,1865,
Fri 20 Aug 2010,0,1352,2478,
Sat 21 Aug 2010,0,515,611,
Sun 22 Aug 2010,0,313,386,
Mon 23 Aug 2010,0,781,1251,
Tue 24 Aug 2010,0,1369,3192,
Wed 25 Aug 2010,0,1032,2350,
Thu 26 Aug 2010,0,891,1809,
Fri 27 Aug 2010,0,1383,2365,
Sat 28 Aug 2010,0,1276,2071,
Sun 29 Aug 2010,0,1094,2074,
Mon 30 Aug 2010,0,1147,2731,
Tue 31 Aug 2010,0,1020,2575,
Wed 01 Sep 2010,0,1117,2436,
Thu 02 Sep 2010,0,818,1800,
Fri 03 Sep 2010,0,915,1572,
Sat 04 Sep 2010,0,710,980,
Sun 05 Sep 2010,0,767,999,
Mon 06 Sep 2010,0,881,1277,
Tue 07 Sep 2010,0,733,1378,
Wed 08 Sep 2010,0,752,1310,
Thu 09 Sep 2010,0,721,1205,
Fri 10 Sep 2010,0,1017,2171,
Sat 11 Sep 2010,0,1452,2201,
Sun 12 Sep 2010,0,380,493,
Mon 13 Sep 2010,0,685,1341,
Tue 14 Sep 2010,0,896,1913,
Wed 15 Sep 2010,0,893,1857,
Thu 16 Sep 2010,0,440,934,
Fri 17 Sep 2010,0,952,1966,
Sat 18 Sep 2010,0,941,1142,
Sun 19 Sep 2010,0,1106,2077,
Mon 20 Sep 2010,0,1054,2177,
Tue 21 Sep 2010,0,656,1650,
Wed 22 Sep 2010,0,700,1412,
Thu 23 Sep 2010,0,834,1576,
Fri 24 Sep 2010,0,622,1112,
Sat 25 Sep 2010,0,544,675,
Sun 26 Sep 2010,0,328,350,
Mon 27 Sep 2010,0,564,1199,
Tue 28 Sep 2010,0,496,763,
Wed 29 Sep 2010,0,634,1403,
Thu 30 Sep 2010,0,404,823,
