Date,AlexS2,ColByEL2,ORP_PoW3,
Date,1_ALEX,3_COBY,2_ORPY,
Sat 01 Jan 2011,0,25,4,
Sun 02 Jan 2011,0,31,11,
Mon 03 Jan 2011,0,27,3,
Tue 04 Jan 2011,0,29,10,
Wed 05 Jan 2011,0,46,11,
Thu 06 Jan 2011,0,37,7,
Fri 07 Jan 2011,0,30,5,
Sat 08 Jan 2011,0,6,0,
Sun 09 Jan 2011,0,15,1,
Mon 10 Jan 2011,0,41,1,
Tue 11 Jan 2011,0,41,0,
Wed 12 Jan 2011,0,42,2,
Thu 13 Jan 2011,0,41,1,
Fri 14 Jan 2011,0,39,1,
Sat 15 Jan 2011,0,13,2,
Sun 16 Jan 2011,0,12,1,
Mon 17 Jan 2011,0,25,1,
Tue 18 Jan 2011,0,35,3,
Wed 19 Jan 2011,0,51,0,
Thu 20 Jan 2011,0,38,0,
Fri 21 Jan 2011,0,40,0,
Sat 22 Jan 2011,0,6,1,
Sun 23 Jan 2011,0,4,1,
Mon 24 Jan 2011,0,33,0,
Tue 25 Jan 2011,0,31,0,
Wed 26 Jan 2011,0,44,0,
Thu 27 Jan 2011,0,42,0,
Fri 28 Jan 2011,0,33,0,
Sat 29 Jan 2011,0,19,3,
Sun 30 Jan 2011,0,11,4,
Mon 31 Jan 2011,0,38,0,
Tue 01 Feb 2011,0,37,2,
Wed 02 Feb 2011,0,17,1,
Thu 03 Feb 2011,0,36,0,
Fri 04 Feb 2011,0,45,0,
Sat 05 Feb 2011,0,16,2,
Sun 06 Feb 2011,0,26,1,
Mon 07 Feb 2011,0,38,1,
Tue 08 Feb 2011,0,29,0,
Wed 09 Feb 2011,0,38,5,
Thu 10 Feb 2011,0,30,0,
Fri 11 Feb 2011,0,33,0,
Sat 12 Feb 2011,0,8,1,
Sun 13 Feb 2011,0,22,0,
Mon 14 Feb 2011,0,28,0,
Tue 15 Feb 2011,0,26,0,
Wed 16 Feb 2011,0,26,0,
Thu 17 Feb 2011,0,31,1,
Fri 18 Feb 2011,0,42,0,
Sat 19 Feb 2011,0,8,0,
Sun 20 Feb 2011,0,8,0,
Mon 21 Feb 2011,0,28,0,
Tue 22 Feb 2011,0,28,0,
Wed 23 Feb 2011,0,33,0,
Thu 24 Feb 2011,0,38,1,
Fri 25 Feb 2011,0,42,2,
Sat 26 Feb 2011,0,14,1,
Sun 27 Feb 2011,0,23,0,
Mon 28 Feb 2011,0,15,0,
Tue 01 Mar 2011,0,35,2,
Wed 02 Mar 2011,0,36,0,
Thu 03 Mar 2011,0,30,0,
Fri 04 Mar 2011,0,42,1,
Sat 05 Mar 2011,0,10,0,
Sun 06 Mar 2011,0,5,0,
Mon 07 Mar 2011,0,26,0,
Tue 08 Mar 2011,0,29,0,
Wed 09 Mar 2011,0,38,0,
Thu 10 Mar 2011,0,13,0,
Fri 11 Mar 2011,0,13,0,
Sat 12 Mar 2011,0,19,0,
Sun 13 Mar 2011,0,10,0,
Mon 14 Mar 2011,0,42,2,
Tue 15 Mar 2011,0,42,0,
Wed 16 Mar 2011,0,30,1,
Thu 17 Mar 2011,52,62,1,
Fri 18 Mar 2011,221,49,2,
Sat 19 Mar 2011,149,48,0,
Sun 20 Mar 2011,211,112,5,
Mon 21 Mar 2011,153,22,1,
Tue 22 Mar 2011,208,50,1,
Wed 23 Mar 2011,240,62,6,
Thu 24 Mar 2011,300,105,1,
Fri 25 Mar 2011,230,50,3,
Sat 26 Mar 2011,156,42,6,
Sun 27 Mar 2011,133,67,4,
Mon 28 Mar 2011,280,71,2,
Tue 29 Mar 2011,350,120,19,
Wed 30 Mar 2011,446,202,61,
Thu 31 Mar 2011,413,133,51,
