LMKTYPE_ID,DESCRIPTION,UD_FRENCH_DESC,DESCRIPTION,DESC_SOUNDEX,UD_FRENCH_DESC,TELEPHONE,PUBLIC_INFO,MUNICIP_NO,NAME_1,COORD_X,COORD_Y
WORSHIP,Place of Worship,Lieux de culte,Grace Baptist Fellowship,EGLISE BAPTISTE-GRASSE FELOCHIP,Église Baptiste Grace Fellowship,241-3580,186 CLARENCE,1,OTTAWA,368201,5032580
TRANSIT, _Transit Stations and Park & Rides,Parc-o-bus et stations du Transitway,Orleans Park & Ride,PARC-O-BUS ORLEN,Parc-o-bus Orléans,,,1,OTTAWA,381407,5038332
WORSHIP,Place of Worship,Lieux de culte,Rideauview Bible Chapel,RIDOVIEW BIBLE CHAPEL,Rideauview Bible Chapel,225-8452,1249 PRINCE OF WALES,1,OTTAWA,366856,5026126
WORSHIP,Place of Worship,Lieux de culte,Canadian Reformed Church,EGLISE KANADIEN REFORMED,Église Canadian Reformed,727-3155,1000 CASTLE HILL CRESC.,1,OTTAWA,363897,5025748
WORSHIP,Place of Worship,Lieux de culte,Dayspring,DAISPRIN,Dayspring,726-8755,999 MOODIE DR.,1,OTTAWA,359335,5015098
WORSHIP,Place of Worship,Lieux de culte,New Wine Covenant,NEW WOME KOVENEN,New Wome Covenant,837-0507,2586 ST. JOSEPH,1,OTTAWA,381073,5037209
WORSHIP,Place of Worship,Lieux de culte,Filipino Community,FILIPINO KOMUNITI,Filipino Community,247-2157,2487 KALADAR,1,OTTAWA,369750,5026434
WORSHIP,Place of Worship,Lieux de culte,Ottawa Chinese Alliance,OTA CHINESE ALIENSE,Ottawa Chinese Alliance,235-8187,22 ECCLES,1,OTTAWA,366777,5030198
WORSHIP,Place of Worship,Lieux de culte,Ottawa Mandarin Alliance,OTA MENDARIN ALIENSE,Ottawa Mandarin Alliance,236-7656,317 CHAPEL,1,OTTAWA,369156,5032223
WORSHIP,Place of Worship,Lieux de culte,Calvin Christian Reformed,KALVIN CHRISTIEN REFORMED,Calvin Christian Reformed,225-2889,1475 MERIVALE RD.,1,OTTAWA,364749,5024736
WORSHIP,Place of Worship,Lieux de culte,Christian Reformed Church Calvary,EGLISE CHRISTIEN REFORMED KALVARI,Église Christian Reformed Calvary,737-4063,3782 RUSSELL RD.,1,OTTAWA,375569,5027651
WORSHIP,Place of Worship,Lieux de culte,St Elizabeth,ST-ELISABET,St-Elizabeth,725-2242,1303 LEASIDE,1,OTTAWA,364824,5027279
WORSHIP,Place of Worship,Lieux de culte,St Marc United Church,EGLISE UNIE ST-MARC,Église Unie St-Marc,233-7307,142 LEWIS,1,OTTAWA,368391,5031075
WORSHIP,Place of Worship,Lieux de culte,St Mary's,ST-MARI'S,St-Mary's,728-9811,100 YOUNG,1,OTTAWA,366163,5029251
WORSHIP,Place of Worship,Lieux de culte,St Maurice,ST-MORISSE,St-Maurice,224-1892,4 PERRY,1,OTTAWA,364413,5023428
WORSHIP,Place of Worship,Lieux de culte,St Monica's,ST-MONICA'S ,St-Monica's ,727-1067,2080 MERIVALE,1,OTTAWA,366411,5019983
WORSHIP,Place of Worship,Lieux de culte,St Margaret,ST-MARGARET,St-Margaret,730-5265,7 FAIRBAIRN,1,OTTAWA,368915,5028628
WORSHIP,Place of Worship,Lieux de culte,St Peter's,ST-PETER,St-Peter,733-1553,1640 HEATHERINGTON,1,OTTAWA,371827,5026368
WORSHIP,Place of Worship,Lieux de culte,St Theresa,ST-TERESA,St-Theresa,235-5119,95 SOMERSET W.,1,OTTAWA,368331,5031335
WORSHIP,Place of Worship,Lieux de culte,Ukrainian Catholic Shrine,LIEU DE PELERINAJE KATOLIKE UKRANIEN,Lieu de pèlerinage catholique ukranien,723-1673,952 GREEN VALLEY CR.,1,OTTAWA,367049,5026693
WORSHIP,Place of Worship,Lieux de culte,Northwestern United,NORTWESTERN UNITED,Northwestern United,722-1840,241 NORTHWESTERN,1,OTTAWA,364172,5029398
WORSHIP,Place of Worship,Lieux de culte,New Beginnings,NEW BEJINING,New Beginnings,726-6707,1171 AMBLESIDE DR.,1,OTTAWA,361038,5026129
WORSHIP,Place of Worship,Lieux de culte,Living Springs Tabernacle,LIVIN SPRING TABERNAKLE,Living Springs Tabernacle,728-5762,413 CHURCHILL AVE. N.,1,OTTAWA,363267,5028275
WORSHIP,Place of Worship,Lieux de culte,Greek Orthodox Church,EGLISE ORTODOXE GREKE,Église Orthodoxe Grecque,225-8117,1315 PRINCE OF WALES DR.,1,OTTAWA,367063,5026031
WORSHIP,Place of Worship,Lieux de culte,Jehovah's Witness - Central,JEOVA'S WITNES - SENTRALE ,Jehova's Witness - centrale ,230-4352,405 GLADSTONE,1,OTTAWA,367809,5030526
